[size=8][x=17][y=14][type=0] 	=> 0.003709
[size=10][x=13][y=9][type=0] 	=> 0.003524
[size=10][x=8][y=26][type=2] 	=> 0.003467
[size=8][x=19][y=26][type=0] 	=> 0.003211
[size=10][x=26][y=15][type=0] 	=> 0.003142
[size=8][x=8][y=6][type=2] 	=> 0.003075
[size=10][x=19][y=21][type=0] 	=> 0.003074
[size=10][x=10][y=15][type=0] 	=> 0.003034
[size=20][x=8][y=8][type=2] 	=> 0.002985
[size=10][x=7][y=13][type=0] 	=> 0.002915
[size=20][x=8][y=10][type=2] 	=> 0.002892
[size=20][x=6][y=19][type=0] 	=> 0.002874
[size=10][x=11][y=19][type=0] 	=> 0.002809
[size=20][x=18][y=14][type=0] 	=> 0.002651
[size=8][x=10][y=16][type=1] 	=> 0.002593
[size=10][x=20][y=5][type=0] 	=> 0.002587
[size=10][x=10][y=24][type=0] 	=> 0.002577
[size=8][x=13][y=16][type=2] 	=> 0.002565
[size=10][x=17][y=7][type=1] 	=> 0.002558
[size=10][x=27][y=22][type=0] 	=> 0.002465
[size=10][x=3][y=22][type=0] 	=> 0.002452
[size=10][x=20][y=10][type=1] 	=> 0.002418
[size=8][x=12][y=15][type=1] 	=> 0.002388
[size=8][x=14][y=23][type=1] 	=> 0.002384
[size=10][x=19][y=8][type=0] 	=> 0.002374
[size=20][x=14][y=11][type=0] 	=> 0.002292
[size=10][x=1][y=19][type=0] 	=> 0.002278
[size=20][x=14][y=17][type=2] 	=> 0.002266
[size=8][x=16][y=4][type=1] 	=> 0.002263
[size=8][x=31][y=13][type=0] 	=> 0.002222
[size=20][x=7][y=12][type=2] 	=> 0.002210
[size=20][x=6][y=12][type=0] 	=> 0.002170
[size=8][x=11][y=14][type=1] 	=> 0.002120
[size=10][x=11][y=13][type=0] 	=> 0.002086
[size=20][x=19][y=15][type=0] 	=> 0.002026
[size=10][x=2][y=6][type=0] 	=> 0.002007
[size=20][x=17][y=7][type=2] 	=> 0.001969
[size=20][x=14][y=10][type=0] 	=> 0.001953
[size=10][x=10][y=1][type=1] 	=> 0.001918
[size=20][x=3][y=19][type=1] 	=> 0.001900
[size=10][x=19][y=18][type=1] 	=> 0.001853
[size=4][x=11][y=11][type=0] 	=> 0.001840
[size=20][x=10][y=1][type=2] 	=> 0.001815
[size=8][x=19][y=0][type=1] 	=> 0.001800
[size=20][x=17][y=16][type=0] 	=> 0.001773
[size=20][x=6][y=13][type=2] 	=> 0.001755
[size=8][x=13][y=31][type=0] 	=> 0.001715
[size=10][x=1][y=28][type=2] 	=> 0.001711
[size=10][x=24][y=11][type=1] 	=> 0.001701
[size=20][x=11][y=11][type=0] 	=> 0.001700
[size=8][x=30][y=20][type=0] 	=> 0.001692
[size=4][x=15][y=0][type=0] 	=> 0.001675
[size=5][x=7][y=8][type=0] 	=> 0.001605
[size=10][x=7][y=14][type=1] 	=> 0.001548
[size=8][x=1][y=19][type=0] 	=> 0.001509
[size=10][x=13][y=13][type=2] 	=> 0.001493
[size=20][x=8][y=7][type=1] 	=> 0.001487
